Id,Temperature (K),Pressure (kPa),Phase,N Components,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source,Component 1,Mole Fraction 1,Exact Amount 1,Role 1,Component 2,Mole Fraction 2,Exact Amount 2,Role 2
,308.15,101.0,Liquid,2,0.3533,0.0039,10.1016/j.tca.2010.03.028,C1CCOCC1,0.2274,0,Solvent,CCCCCC,0.7726,0,Solvent
,308.15,101.0,Liquid,2,0.4307,0.0047,10.1016/j.tca.2010.03.028,C1CCOCC1,0.7514,0,Solvent,CCCCCC,0.2486,0,Solvent
,308.15,101.0,Liquid,2,0.5452,0.0059,10.1016/j.tca.2010.03.028,C1CCOCC1,0.4968,0,Solvent,CCCCCC,0.5032,0,Solvent
,308.15,101.0,Liquid,2,0.4218,0.0046,10.1016/j.tca.2010.03.028,C1CCOCC1,0.2324,0,Solvent,CCCCCCC,0.7676,0,Solvent
,308.15,101.0,Liquid,2,0.5087,0.0055,10.1016/j.tca.2010.03.028,C1CCOCC1,0.7124,0,Solvent,CCCCCCC,0.2876,0,Solvent
,308.15,101.0,Liquid,2,0.6422,0.00695,10.1016/j.tca.2010.03.028,C1CCOCC1,0.5008,0,Solvent,CCCCCCC,0.4992,0,Solvent
,308.15,101.0,Liquid,2,0.3613,0.00395,10.1016/j.tca.2010.03.028,C1CCCCC1,0.2471,0,Solvent,C1CCOCC1,0.7529,0,Solvent
,308.15,101.0,Liquid,2,0.4424,0.00485,10.1016/j.tca.2010.03.028,C1CCCCC1,0.7266,0,Solvent,C1CCOCC1,0.2734,0,Solvent
,308.15,101.0,Liquid,2,0.526,0.0055,10.1021/je900347f,C1CCCCC1,0.499,0,Solvent,C1CCOCC1,0.501,0,Solvent
,298.15,101.325,Liquid,2,0.3299,0.0052,10.1016/j.fluid.2005.08.001,CCCCCC,0.3,0,Solvent,CCCCO,0.7,0,Solvent
,298.15,101.325,Liquid,2,0.5012,0.0078,10.1016/j.fluid.2005.08.001,CCCCCC,0.5,0,Solvent,CCCCO,0.5,0,Solvent
,298.15,101.325,Liquid,2,0.5418,0.00845,10.1016/j.fluid.2005.08.001,CCCCCC,0.75,0,Solvent,CCCCO,0.25,0,Solvent
,303.15,101.0,Liquid,2,0.132161,0.001556,10.1021/je9001416,CC(C)CC(C)(C)C,0.7748,0,Solvent,CC(C)OC(C)C,0.2252,0,Solvent
,303.15,101.0,Liquid,2,0.158983,0.0018345,10.1021/je9001416,CC(C)CC(C)(C)C,0.2693,0,Solvent,CC(C)OC(C)C,0.7307,0,Solvent
,303.15,101.0,Liquid,2,0.197047,0.002233,10.1021/je9001416,CC(C)CC(C)(C)C,0.5125,0,Solvent,CC(C)OC(C)C,0.4875,0,Solvent
,303.15,101.0,Liquid,2,0.1753,0.0054,10.1016/j.fluid.2010.08.024,CC(C)OC(C)C,0.221,0,Solvent,CCCCCCC,0.779,0,Solvent
,303.15,101.0,Liquid,2,0.1922,0.0059,10.1016/j.fluid.2010.08.024,CC(C)OC(C)C,0.752,0,Solvent,CCCCCCC,0.248,0,Solvent
,303.15,101.0,Liquid,2,0.2486,0.00755,10.1016/j.fluid.2010.08.024,CC(C)OC(C)C,0.416,0,Solvent,CCCCCCC,0.584,0,Solvent
,299.15,101.32,Liquid,2,1.8888,0.0118,10.1021/je034290l,CC(C)(C)O,0.7127,0,Solvent,COC=O,0.2873,0,Solvent
,299.15,101.32,Liquid,2,2.0563,0.0128,10.1021/je034290l,CC(C)(C)O,0.2778,0,Solvent,COC=O,0.7222,0,Solvent
,299.15,101.32,Liquid,2,2.4856,0.01545,10.1021/je034290l,CC(C)(C)O,0.4967,0,Solvent,COC=O,0.5033,0,Solvent
,299.15,101.3,Liquid,2,1.3567,0.0145,10.1021/je0497350,CC(C)(C)O,0.2394,0,Solvent,CCCCOC(C)=O,0.7606,0,Solvent
,299.15,101.3,Liquid,2,1.3646,0.0146,10.1021/je0497350,CC(C)(C)O,0.7354,0,Solvent,CCCCOC(C)=O,0.2646,0,Solvent
,299.15,101.3,Liquid,2,1.8338,0.01955,10.1021/je0497350,CC(C)(C)O,0.4947,0,Solvent,CCCCOC(C)=O,0.5053,0,Solvent
,298.15,100.0,Liquid,2,0.599,0.0055,10.1016/j.jct.2016.10.005,C1CCCCC1,0.4998,0,Solvent,CCCO,0.5002,0,Solvent
,298.15,100.0,Liquid,2,0.636,0.0055,10.1016/j.jct.2016.10.005,C1CCCCC1,0.6995,0,Solvent,CCCO,0.3005,0,Solvent
,298.15,100.0,Liquid,2,0.378,0.0055,10.1016/j.jct.2016.10.005,C1CCCCC1,0.2499,0,Solvent,CCCO,0.7501,0,Solvent
,303.15,101.0,Liquid,2,0.46121,0.005021,10.1021/je7005743,CC(C)CC(C)(C)C,0.262,0,Solvent,CCO,0.738,0,Solvent
