Id,Temperature (K),Pressure (kPa),Phase,N Components,Density Value (g / ml),Density Uncertainty (g / ml),Source,Component 1,Mole Fraction 1,Exact Amount 1,Role 1,Component 2,Mole Fraction 2,Exact Amount 2,Role 2
,308.15,101.0,Liquid,2,0.7438459949707938,,10.1016/j.tca.2010.03.028 + 10.1021/je400722h + 10.1021/je9006597,C1CCOCC1,0.515,0,Solvent,CCCCCC,0.485,0,Solvent
,308.15,101.0,Liquid,2,0.8082388746576403,,10.1016/j.tca.2010.03.028 + 10.1021/je400722h + 10.1021/je9006597,C1CCOCC1,0.7837,0,Solvent,CCCCCC,0.2163,0,Solvent
,308.15,101.0,Liquid,2,0.6946153652393805,,10.1016/j.tca.2010.03.028 + 10.1021/je400722h + 10.1021/je9006597,C1CCOCC1,0.2753,0,Solvent,CCCCCC,0.7247,0,Solvent
,308.15,101.0,Liquid,2,0.7069336457860478,,10.1016/j.tca.2010.03.028 + 10.1021/je400722h + 10.1021/je9006597,C1CCOCC1,0.2613,0,Solvent,CCCCCCC,0.7387,0,Solvent
,308.15,101.0,Liquid,2,0.7921495770378296,,10.1016/j.tca.2010.03.028 + 10.1021/je400722h + 10.1021/je9006597,C1CCOCC1,0.7123,0,Solvent,CCCCCCC,0.2877,0,Solvent
,308.15,101.0,Liquid,2,0.7471686279547574,,10.1016/j.tca.2010.03.028 + 10.1021/je400722h + 10.1021/je9006597,C1CCOCC1,0.4964,0,Solvent,CCCCCCC,0.5036,0,Solvent
,298.15,100.0,Liquid,2,0.8470300000000002,0.000505,10.1016/j.jct.2014.06.030,C1CCCCC1,0.2659,0,Solvent,C1CCOCC1,0.7341,0,Solvent
,298.15,100.0,Liquid,2,0.7952000000000002,0.000505,10.1016/j.jct.2014.06.030,C1CCCCC1,0.7622,0,Solvent,C1CCOCC1,0.2378,0,Solvent
,298.15,100.0,Liquid,2,0.8211500000000002,0.000505,10.1016/j.jct.2014.06.030,C1CCCCC1,0.5018,0,Solvent,C1CCOCC1,0.4982,0,Solvent
,298.15,101.3,Liquid,2,0.75036551312105,,10.1016/j.fluid.2005.08.001 + 10.1021/acs.jced.5b00542 + 10.1016/j.fluid.2013.11.008,CCCCCC,0.2997,0,Solvent,CCCCO,0.7003,0,Solvent
,298.15,101.3,Liquid,2,0.7191744770397132,,10.1016/j.fluid.2005.08.001 + 10.1021/acs.jced.5b00542 + 10.1016/j.fluid.2013.11.008,CCCCCC,0.5005,0,Solvent,CCCCO,0.4995,0,Solvent
,298.15,101.3,Liquid,2,0.6860279916021156,,10.1016/j.fluid.2005.08.001 + 10.1021/acs.jced.5b00542 + 10.1016/j.fluid.2013.11.008,CCCCCC,0.7503,0,Solvent,CCCCO,0.2497,0,Solvent
,298.15,101.0,Liquid,2,0.7005900000000002,0.000105,10.1021/je2011314,CC(C)CC(C)(C)C,0.5009,0,Solvent,CC(C)OC(C)C,0.4991,0,Solvent
,298.15,100.8,Liquid,2,0.7090800000000002,0.000155,10.1021/je050367p,CC(C)CC(C)(C)C,0.25,0,Solvent,CC(C)OC(C)C,0.75,0,Solvent
,298.15,100.8,Liquid,2,0.6937500000000002,0.000155,10.1021/je050367p,CC(C)CC(C)(C)C,0.75,0,Solvent,CC(C)OC(C)C,0.25,0,Solvent
,303.15,101.0,Liquid,2,0.7017077304688712,,10.1016/j.tca.2005.10.008 + 10.1021/je700460w + 10.1021/je9006597,CC(C)OC(C)C,0.7371,0,Solvent,CCCCCCC,0.2629,0,Solvent
,303.15,101.0,Liquid,2,0.6834880256106797,,10.1016/j.tca.2005.10.008 + 10.1021/je700460w + 10.1021/je9006597,CC(C)OC(C)C,0.2667,0,Solvent,CCCCCCC,0.7333,0,Solvent
,303.15,101.0,Liquid,2,0.6889128252924351,,10.1016/j.tca.2005.10.008 + 10.1021/je700460w + 10.1021/je9006597,CC(C)OC(C)C,0.4165,0,Solvent,CCCCCCC,0.5835,0,Solvent
,299.15,101.3,Liquid,2,0.8035019431958534,,10.1021/je034290l + 10.1016/j.jct.2010.10.018 + 10.1021/je034290l,CC(C)(C)O,0.7581,0,Solvent,COC=O,0.2419,0,Solvent
