Id,Temperature (K),Pressure (kPa),Phase,N Components,Density Value (g / ml),Density Uncertainty (g / ml),Source,Component 1,Mole Fraction 1,Exact Amount 1,Role 1
,298.15,101.325,Liquid,1,1.0278800000000003,0.0025,10.1016/j.jct.2003.09.001,C1COCCO1,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.6590000000000001,0.01,10.1021/acs.jced.5b00542,CCCCCC,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.6878100000000001,0.008,10.1021/acs.jced.6b00019,CC(C)CC(C)(C)C,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.8995000000000002,0.005,10.1021/acs.jced.7b01107,CCOC(C)=O,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.8860000000000002,0.005,10.1021/acs.jced.7b01107,CCCOC(C)=O,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.7238000000000001,0.003005,10.1021/acs.jced.5b00527,CC(C)OC(C)C,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.7264700000000002,0.010005,10.1016/j.jct.2012.07.006,CCCCCCCCCC,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.8764500000000003,0.002945,10.1021/je050001c,CCCCOC(C)=O,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.8019900000000002,0.001005,10.1016/j.jct.2016.02.016,CCCC(C)=O,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.7790000000000001,0.01,10.1021/acs.jced.5b00542,C1CCCCC1,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.7649500000000002,0.008,10.1021/acs.jced.6b00019,CC1CCCCC1,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.7640700000000002,0.001,10.1021/je034022n,CCCCOCCCC,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.7859000000000002,0.02,10.1016/j.fluid.2013.11.008,CO,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.7864000000000002,0.02,10.1016/j.fluid.2013.11.008,CCO,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.7827000000000003,0.02,10.1016/j.fluid.2013.11.008,CC(C)O,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.7808600000000002,0.008,10.1021/acs.jced.6b00019,CC(C)(C)O,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.8032000000000002,0.00355,10.1021/je900212d,CCCO,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.9663800000000002,0.000515,10.1021/je200974r,COC=O,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.8016520000000003,0.0050015,10.1021/acs.jced.8b00120,CC(C)CO,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.8055000000000002,0.02,10.1016/j.fluid.2013.11.008,CCCCO,1.0,0,Solvent
,298.15,101.325,Liquid,1,1.0496030000000005,5.3000000000000014e-05,10.1021/je9003806,CCOC(=O)CC(=O)OCC,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.9450000000000002,0.00095,10.1016/j.fluid.2013.10.057,O=C1CCCC1,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.9476200000000002,0.000515,10.1021/acs.jced.6b00606,O=C1CCCCCC1,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.9430000000000002,0.0006,10.1016/j.fluid.2008.02.018,O=C1CCCCC1,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.6797100000000001,0.01,10.1016/j.jct.2012.07.006,CCCCCCC,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.7347000000000002,0.001,10.1021/je060025z,COC(C)(C)C,1.0,0,Solvent
,298.15,101.325,Liquid,1,1.0441200000000002,0.005,10.1021/acs.jced.6b00112,CC(=O)O,1.0,0,Solvent
,298.15,101.325,Liquid,1,0.8791600000000002,0.000885,10.1021/acs.jced.7b01091,C1CCOCC1,1.0,0,Solvent
